"No.","Time","Source","Destination","Protocol","Length","Info"
"3","0.173629","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"4","0.533882","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"5","6.358354","192.168.1.104","161.117.56.73","UDP","218","52506  >  8053 Len=176"
"6","6.722099","161.117.56.73","192.168.1.104","UDP","106","8053  >  52506 Len=64"
"7","20.174015","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"8","20.535335","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"10","25.625635","192.168.1.104","161.117.56.73","UDP","202","52506  >  8053 Len=160"
"11","25.993501","161.117.56.73","192.168.1.104","UDP","106","8053  >  52506 Len=64"
"14","35.513465","192.168.1.104","161.117.56.73","UDP","186","52506  >  8053 Len=144"
"15","35.520493","192.168.1.104","161.117.56.73","UDP","234","52506  >  8053 Len=192"
"16","35.890729","161.117.56.73","192.168.1.104","UDP","106","8053  >  52506 Len=64"
"17","35.890733","161.117.56.73","192.168.1.104","UDP","106","8053  >  52506 Len=64"
"18","40.174536","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"19","40.534722","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"20","42.910088","192.168.1.104","161.117.56.73","UDP","186","52506  >  8053 Len=144"
"21","42.912516","192.168.1.104","161.117.56.73","UDP","234","52506  >  8053 Len=192"
"22","43.272752","161.117.56.73","192.168.1.104","UDP","106","8053  >  52506 Len=64"
"23","43.288611","161.117.56.73","192.168.1.104","UDP","106","8053  >  52506 Len=64"
"26","60.175099","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"27","60.535161","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"30","80.175268","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"31","80.542576","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"32","100.175757","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"33","100.556964","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"36","120.176264","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"37","120.557359","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"40","140.176504","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"41","140.564688","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"42","154.986284","192.168.1.104","161.117.56.73","UDP","202","52506  >  8053 Len=160"
"43","155.367099","161.117.56.73","192.168.1.104","UDP","106","8053  >  52506 Len=64"
"46","160.176930","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"47","160.556078","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"48","162.796782","192.168.1.104","161.117.56.73","UDP","202","52506  >  8053 Len=160"
"49","163.184252","161.117.56.73","192.168.1.104","UDP","106","8053  >  52506 Len=64"
"50","180.178561","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"51","180.556561","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"52","200.178266","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"53","200.843027","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"56","220.178639","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"57","220.559409","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"58","240.179874","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"59","240.558774","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"60","260.180221","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"61","260.555113","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"64","280.181009","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"65","280.555430","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"67","300.181414","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"68","300.554940","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"71","320.182010","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"72","320.556313","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"73","335.268064","192.168.1.104","161.117.56.73","UDP","202","52506  >  8053 Len=160"
"74","335.647606","161.117.56.73","192.168.1.104","UDP","106","8053  >  52506 Len=64"
"75","340.182413","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"76","340.556706","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"77","343.194045","192.168.1.104","161.117.56.73","UDP","202","52506  >  8053 Len=160"
"78","343.564778","161.117.56.73","192.168.1.104","UDP","106","8053  >  52506 Len=64"
"79","360.183046","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"80","360.556981","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"83","380.183407","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"84","380.657475","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"85","400.183871","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"87","400.574883","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"88","415.300343","192.168.1.104","161.117.56.73","UDP","186","52506  >  8053 Len=144"
"89","415.307171","192.168.1.104","161.117.56.73","UDP","186","52506  >  8053 Len=144"
"90","415.694162","161.117.56.73","192.168.1.104","UDP","106","8053  >  52506 Len=64"
"91","415.701088","161.117.56.73","192.168.1.104","UDP","106","8053  >  52506 Len=64"
"92","420.184111","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"93","420.550153","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"96","440.184709","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"97","440.552656","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"98","460.185264","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"99","460.574053","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"102","480.185769","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"103","480.550410","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"104","500.188884","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"105","500.665685","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"106","520.186546","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"107","520.565235","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"110","540.187029","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"111","540.565553","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"112","560.187762","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"113","560.689963","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"114","580.188071","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"115","580.563358","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"118","600.188595","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"119","600.564723","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"120","620.188699","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"121","620.548986","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"122","635.823400","192.168.1.104","161.117.56.73","UDP","202","52506  >  8053 Len=160"
"123","636.190278","161.117.56.73","192.168.1.104","UDP","106","8053  >  52506 Len=64"
"126","640.189324","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"127","640.551401","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"128","643.670686","192.168.1.104","161.117.56.73","UDP","202","52506  >  8053 Len=160"
"129","644.036533","161.117.56.73","192.168.1.104","UDP","106","8053  >  52506 Len=64"
"130","660.190029","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"131","660.556872","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"132","680.190431","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"133","680.550162","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"136","697.438958","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"137","697.810674","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"138","698.089576","192.168.1.104","161.117.56.73","UDP","426","52506  >  8053 Len=384"
