// 2247 benign + 1672 mirai httpflooding-1-dec
"No.","Time","Source","Destination","Protocol","Length","Info"
"786","1.758387","223.39.118.176","192.168.0.23","TLSv1.2","490","Application Data"
"825","1.902345","223.39.123.194","192.168.0.24","TLSv1","960","Application Data, Application Data"
"849","1.958296","108.177.125.188","192.168.0.23","TLSv1.2","866","Application Data"
"864","2.044242","223.39.118.176","192.168.0.23","TLSv1.2","833","Application Data"
"981","2.273108","192.168.0.24","223.39.118.176","TLSv1","256","Client Hello"
"988","2.285274","192.168.0.1","192.168.0.14","HTTP","114","HTTP/1.0 200 OK  (text/html)"
"989","2.285561","223.39.118.176","192.168.0.24","TLSv1","1558","Server Hello"
"993","2.286006","223.39.118.176","192.168.0.24","TLSv1","676","Certificate, Server Key Exchange, Server Hello Done"
"1078","2.413034","192.168.0.24","223.39.118.176","TLSv1","236","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"1080","2.420030","223.39.118.176","192.168.0.24","TLSv1","368","New Session Ticket, Change Cipher Spec, Encrypted Handshake Message"
"1108","2.432180","192.168.0.24","223.39.118.176","TLSv1","763","Application Data"
"1116","2.477860","223.39.118.176","192.168.0.24","TLSv1","507","Application Data"
"1149","2.553725","108.177.125.188","192.168.0.23","TLSv1.2","772","Application Data"
"1170","2.627799","223.39.118.176","192.168.0.23","TLSv1.2","833","Application Data"
"2663","5.764756","192.168.0.1","192.168.0.14","HTTP","114","HTTP/1.0 200 OK  (text/html)"
"2691","5.868132","192.168.0.23","224.0.0.251","MDNS","167","Standard query 0x0008 PTR _674A0243._sub._googlecast._tcp.local, ""QM"" question PTR _8E6C866D._sub._googlecast._tcp.local, ""QM"" question PTR _googlecast._tcp.local, ""QM"" question"
"2692","5.868461","192.168.0.23","224.0.0.251","MDNS","167","Standard query 0x0008 PTR _674A0243._sub._googlecast._tcp.local, ""QM"" question PTR _8E6C866D._sub._googlecast._tcp.local, ""QM"" question PTR _googlecast._tcp.local, ""QM"" question"
"2693","5.868809","192.168.0.23","224.0.0.251","MDNS","167","Standard query 0x0008 PTR _674A0243._sub._googlecast._tcp.local, ""QM"" question PTR _8E6C866D._sub._googlecast._tcp.local, ""QM"" question PTR _googlecast._tcp.local, ""QM"" question"
"2694","5.895922","192.168.0.23","224.0.0.251","MDNS","167","Standard query 0x0008 PTR _674A0243._sub._googlecast._tcp.local, ""QM"" question PTR _8E6C866D._sub._googlecast._tcp.local, ""QM"" question PTR _googlecast._tcp.local, ""QM"" question"
"3026","6.817850","223.39.118.176","192.168.0.24","TLSv1","135","Encrypted Alert"
