"No.","Time","Source","Destination","Protocol","Length","Info"
"2","0.004896","104.118.134.215","192.168.0.24","TCP","1507","[TCP segment of a reassembled PDU]"
"3","0.005068","104.118.134.215","192.168.0.24","TCP","1507","[TCP segment of a reassembled PDU]"
"6","0.061191","104.118.134.215","192.168.0.24","TCP","1507","[TCP Previous segment not captured]  [TCP segment of a reassembled PDU]"
"7","0.061402","104.118.134.215","192.168.0.24","TCP","1507","[TCP segment of a reassembled PDU]"
"11","0.091301","104.118.134.215","192.168.0.24","TCP","1507","[TCP segment of a reassembled PDU]"
"12","0.091573","104.118.134.215","192.168.0.24","TCP","1507","[TCP segment of a reassembled PDU]"
"15","0.117945","104.118.134.215","192.168.0.24","TCP","1507","[TCP segment of a reassembled PDU]"
"16","0.118028","104.118.134.215","192.168.0.24","TCP","1507","[TCP segment of a reassembled PDU]"
"19","0.145278","104.118.134.215","192.168.0.24","TCP","1507","[TCP segment of a reassembled PDU]"
"20","0.145452","104.118.134.215","192.168.0.24","TCP","1507","[TCP segment of a reassembled PDU]"
"22","0.166576","104.118.134.215","192.168.0.24","TCP","1507","[TCP segment of a reassembled PDU]"
"23","0.166694","104.118.134.215","192.168.0.24","TCP","1507","[TCP segment of a reassembled PDU]"
"25","0.188111","104.118.134.215","192.168.0.24","TCP","1507","[TCP segment of a reassembled PDU]"
"27","0.207000","104.118.134.215","192.168.0.24","TCP","1507","[TCP segment of a reassembled PDU]"
"28","0.207239","104.118.134.215","192.168.0.24","TCP","1507","[TCP segment of a reassembled PDU]"
"30","0.226033","104.118.134.215","192.168.0.24","TCP","1507","[TCP segment of a reassembled PDU]"
"31","0.226155","104.118.134.215","192.168.0.24","TCP","1507","[TCP segment of a reassembled PDU]"
"36","0.246801","104.118.134.215","192.168.0.24","TCP","1507","[TCP segment of a reassembled PDU]"
"37","0.246951","104.118.134.215","192.168.0.24","TCP","1507","[TCP segment of a reassembled PDU]"
"65","0.370486","104.118.134.215","192.168.0.24","SSLv2","1507","Encrypted Data [TCP segment of a reassembled PDU]"
"90","0.449977","104.118.134.215","192.168.0.24","SSLv2","1507","Encrypted Data [TCP segment of a reassembled PDU]"
"110","0.741617","104.74.152.109","192.168.0.14","TLSv1.2","90","Application Data"
"161","1.117437","192.168.0.24","163.152.1.1","DNS","79","Standard query 0xc0f7 A nog-spk.sktnugu.com"
"164","1.118912","163.152.1.1","192.168.0.24","DNS","248","Standard query response 0xc0f7 A nog-spk.sktnugu.com A 211.188.147.64 NS gate4.sktelecom.com NS gate3.sktelecom.com NS gate.sktelecom.com NS gate2.sktelecom.com A 203.236.1.12 A 203.236.20.11 A 211.188.180.21 A 211.188.180.22"
"170","1.131179","192.168.0.24","211.188.147.64","TLSv1","270","Client Hello"
"172","1.135897","211.188.147.64","192.168.0.24","TLSv1","1514","Server Hello"
"179","1.141877","211.188.147.64","192.168.0.24","TLSv1","921","Certificate, Server Key Exchange, Server Hello Done"
"187","1.175370","104.118.134.215","192.168.0.24","SSLv2","1507","Encrypted Data [TCP segment of a reassembled PDU]"
"190","1.197863","192.168.0.24","211.188.147.64","TLSv1","188","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"194","1.202462","211.188.147.64","192.168.0.24","TLSv1","336","New Session Ticket, Change Cipher Spec, Encrypted Handshake Message"
"205","1.289708","104.118.134.215","192.168.0.24","SSLv2","1507","Encrypted Data [TCP segment of a reassembled PDU]"
"211","1.307495","192.168.0.24","211.188.147.64","TLSv1","1518","[TCP Previous segment not captured] , Ignored Unknown Record"
"213","1.308444","192.168.0.24","211.188.147.64","TLSv1","1518","Ignored Unknown Record"
"214","1.308566","192.168.0.24","211.188.147.64","TLSv1","1518","Ignored Unknown Record"
"216","1.309431","192.168.0.24","211.188.147.64","TLSv1","1514","Ignored Unknown Record"
"217","1.309545","192.168.0.24","211.188.147.64","TLSv1","1514","Ignored Unknown Record"
"218","1.309923","192.168.0.24","211.188.147.64","TLSv1","1514","Ignored Unknown Record"
