// 8332 mirai-httpflooding-2-dec
"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","31.13.76.16","192.168.0.16","TLSv1.2","496","Application Data"
"3","0.000193","13.250.244.41","192.168.0.16","TLSv1.2","211","Server Hello, Change Cipher Spec, Encrypted Handshake Message"
"4","0.000265","163.152.1.1","192.168.0.16","DNS","534","Standard query response 0x4ce4 A p56-buy.itunes.apple.com CNAME p56-buy.itunes-apple.com.akadns.net A 17.42.254.11 NS a18-128.akagtm.org NS a5-130.akagtm.org NS a13-130.akagtm.org NS a7-131.akadns.net NS a1-128.akadns.net NS a28-129.akagtm.org NS a3-129.akadns.net NS a12-131.akagtm.org NS a9-128.akadns.net NS a11-129.akadns.net A 193.108.88.128 A 96.7.49.129 A 95.100.168.130 A 23.61.199.131 A 184.85.248.128 A 84.53.139.129 A 184.26.160.131 A 2.22.230.130 A 95.101.36.128 A 95.100.173.129"
"5","0.000347","163.152.1.1","192.168.0.16","DNS","528","Standard query response 0x34ae A xp.apple.com CNAME xp.itunes-apple.com.akadns.net CNAME xp.apple.com.edgekey.net CNAME e17437.dscb.akamaiedge.net A 23.212.12.108 NS n6dscb.akamaiedge.net NS n2dscb.akamaiedge.net NS n1dscb.akamaiedge.net NS n0dscb.akamaiedge.net NS n4dscb.akamaiedge.net NS n7dscb.akamaiedge.net NS n5dscb.akamaiedge.net NS n3dscb.akamaiedge.net A 88.221.81.192 A 72.246.103.143 A 23.211.117.70 A 72.246.103.141 A 72.246.103.145 A 72.246.103.147 A 173.223.227.181 A 23.211.117.55 AAAA 2600:1480:e800::c0"
"7","0.000647","104.118.134.215","192.168.0.24","TCP","1507","[TCP segment of a reassembled PDU]"
"8","0.000724","104.118.134.215","192.168.0.24","TCP","1507","[TCP segment of a reassembled PDU]"
"11","0.003613","192.168.0.16","13.250.244.41","TLSv1.2","117","Change Cipher Spec, Encrypted Handshake Message"
"12","0.003694","192.168.0.16","13.250.244.41","TLSv1.2","554","Application Data"
"17","0.006662","13.250.244.41","192.168.0.16","TLSv1.2","479","Application Data"
"18","0.007139","192.168.0.16","13.250.244.41","TLSv1.2","137","Application Data"
"24","0.014260","192.168.0.16","23.212.12.108","TLSv1.2","583","Client Hello"
"25","0.017024","104.118.134.215","192.168.0.24","SSLv2","1507","Encrypted Data"
"26","0.017200","104.118.134.215","192.168.0.24","TCP","1507","[TCP segment of a reassembled PDU]"
"31","0.040365","23.212.12.108","192.168.0.16","TLSv1.2","1514","Server Hello"
"33","0.041575","23.212.12.108","192.168.0.16","TLSv1.2","1207","Certificate, Certificate Status, Server Key Exchange, Server Hello Done"
"37","0.048843","203.119.128.27","192.168.0.16","HTTP","459","HTTP/1.1 200 OK  (application/thrift)"
"39","0.049768","192.168.0.16","23.212.12.108","TLSv1.2","184","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"45","0.052371","104.118.134.215","192.168.0.24","TCP","1507","[TCP segment of a reassembled PDU]"
"46","0.052593","104.118.134.215","192.168.0.24","TCP","1507","[TCP segment of a reassembled PDU]"
"48","0.055732","23.212.12.108","192.168.0.16","TLSv1.2","109","Change Cipher Spec, Encrypted Handshake Message"
"51","0.058119","192.168.0.16","23.212.12.108","TLSv1.2","243","Application Data"
"55","0.062925","192.168.0.16","13.250.244.41","TLSv1.2","583","Client Hello"
"58","0.064274","192.168.0.16","13.250.244.41","TLSv1.2","583","Client Hello"
"59","0.114330","192.168.0.16","31.13.76.16","TLSv1.2","90","Application Data"
"62","0.115225","13.250.244.41","192.168.0.16","TLSv1.2","356","Application Data"
"64","0.117890","31.13.76.16","192.168.0.16","TLSv1.2","90","Application Data"
"68","0.173942","13.250.244.41","192.168.0.16","TLSv1.2","211","Server Hello, Change Cipher Spec, Encrypted Handshake Message"
"70","0.174511","13.250.244.41","192.168.0.16","TLSv1.2","211","Server Hello, Change Cipher Spec, Encrypted Handshake Message"
"74","0.272510","192.168.0.16","224.0.0.251","MDNS","120","Standard query 0x0000 PTR _airplay._tcp.local, ""QU"" question PTR _raop._tcp.local, ""QU"" question OPT"
"75","0.272628","fe80::1c60:edf4:f8a0:e9b7","ff02::fb","MDNS","140","Standard query 0x0000 PTR _airplay._tcp.local, ""QU"" question PTR _raop._tcp.local, ""QU"" question OPT"
"76","0.273196","192.168.0.16","224.0.0.251","MDNS","120","Standard query 0x0000 PTR _airplay._tcp.local, ""QU"" question PTR _raop._tcp.local, ""QU"" question OPT"
"77","0.273274","fe80::1c60:edf4:f8a0:e9b7","ff02::fb","MDNS","140","Standard query 0x0000 PTR _airplay._tcp.local, ""QU"" question PTR _raop._tcp.local, ""QU"" question OPT"
"80","0.291700","23.212.12.108","192.168.0.16","TLSv1.2","616","Application Data"
"84","0.316877","104.118.134.215","192.168.0.24","TCP","1507","[TCP segment of a reassembled PDU]"
"85","0.316993","192.168.0.16","224.0.0.251","MDNS","120","Standard query 0x0000 PTR _airplay._tcp.local, ""QU"" question PTR _raop._tcp.local, ""QU"" question OPT"
"86","0.317064","fe80::1c60:edf4:f8a0:e9b7","ff02::fb","MDNS","140","Standard query 0x0000 PTR _airplay._tcp.local, ""QU"" question PTR _raop._tcp.local, ""QU"" question OPT"
"95","0.358502","192.168.0.16","224.0.0.251","MDNS","120","Standard query 0x0000 PTR _airplay._tcp.local, ""QU"" question PTR _raop._tcp.local, ""QU"" question OPT"
"96","0.358589","fe80::1c60:edf4:f8a0:e9b7","ff02::fb","MDNS","140","Standard query 0x0000 PTR _airplay._tcp.local, ""QU"" question PTR _raop._tcp.local, ""QU"" question OPT"
"97","0.358898","192.168.0.16","13.250.244.41","TLSv1.2","676","[TCP Spurious Retransmission] , Change Cipher Spec, Encrypted Handshake Message, Application Data, Application Data"
"100","0.375397","104.118.134.215","192.168.0.24","SSLv2","1507","Encrypted Data"
"104","0.386182","104.118.134.215","192.168.0.24","TCP","1507","[TCP segment of a reassembled PDU]"
"106","0.422309","192.168.0.16","31.13.76.16","TLSv1.2","90","[TCP Spurious Retransmission] , Application Data"
"114","0.427622","192.168.0.16","13.250.244.41","TLSv1.2","117","Change Cipher Spec, Encrypted Handshake Message"
"117","0.427841","192.168.0.16","13.250.244.41","TLSv1.2","117","Change Cipher Spec, Encrypted Handshake Message"
"118","0.427915","192.168.0.16","17.42.254.11","TLSv1.2","571","Client Hello"
"119","0.428326","192.168.0.16","150.109.162.74","HTTP","315","GET /assets/deps/rn/rn_ezviz_service_cloud_ios-v1.2.6_324884.zip HTTP/1.1 "
"120","0.428401","192.168.0.16","13.250.244.41","TLSv1.2","535","Application Data"
"121","0.428708","192.168.0.16","13.250.244.41","TLSv1.2","464","Application Data"
"123","0.428858","192.168.0.16","13.250.244.41","TLSv1.2","249","Application Data"
"129","0.436872","104.118.134.215","192.168.0.24","TCP","1507","[TCP segment of a reassembled PDU]"
"133","0.458504","104.118.134.215","192.168.0.24","TCP","1507","[TCP segment of a reassembled PDU]"
"135","0.493770","104.118.134.215","192.168.0.24","TCP","1507","[TCP segment of a reassembled PDU]"
"144","0.528695","104.118.134.215","192.168.0.24","SSLv2","1507","Encrypted Data"
"145","0.528903","104.118.134.215","192.168.0.24","TCP","1507","[TCP segment of a reassembled PDU]"
"148","0.541677","13.250.244.41","192.168.0.16","TLSv1.2","356","Application Data"
"150","0.544543","13.250.244.41","192.168.0.16","TLSv1.2","590","Application Data"
"153","0.552663","192.168.0.16","13.250.244.41","TLSv1.2","433","Application Data"
"154","0.553133","192.168.0.16","13.250.244.41","TLSv1.2","208","Application Data"
"155","0.572573","104.118.134.215","192.168.0.24","TCP","1507","[TCP segment of a reassembled PDU]"
"158","0.594157","104.118.134.215","192.168.0.24","TCP","1507","[TCP segment of a reassembled PDU]"
"163","0.620160","104.118.134.215","192.168.0.24","TCP","1507","[TCP segment of a reassembled PDU]"
"180","0.649159","17.42.254.11","192.168.0.16","TLSv1.2","501","Server Hello, Certificate"
"187","0.655897","13.250.244.41","192.168.0.16","TLSv1.2","655","Application Data"
"188","0.656274","17.42.254.11","192.168.0.16","TLSv1.2","396","Server Key Exchange, Server Hello Done"
"189","0.658548","104.118.134.215","192.168.0.24","TCP","1507","[TCP segment of a reassembled PDU]"
"190","0.658728","104.118.134.215","192.168.0.24","TCP","1507","[TCP segment of a reassembled PDU]"
"191","0.658804","104.118.134.215","192.168.0.24","TCP","1507","[TCP segment of a reassembled PDU]"
"218","0.667318","192.168.0.16","13.250.244.41","TLSv1.2","433","Application Data"
"219","0.667393","192.168.0.16","13.250.244.41","TLSv1.2","245","Application Data"
